,Artist,Event_link,Club,City,Date,Time
55,Pizza and Techno ,, Audio Nightclub ,San Francisco, Aug 1 ,1pm-8pm
56,Sunday Bliss 5yr Anniversary w/ Seven Davis Jr. ,, Lost And Found ,Oakland, Aug 2 ,2pm-9pm
57,Outside Lands 2020 ,Facebook Page, Golden Gate Park ,San Francisco, Aug 7-Sun: Aug 9 ,Fri: 11am-Sun: 11pm
58,Some Are Camp 2020 - The World ,Facebook Page, 15905 River Rd ,Guerneville, Aug 7-Sun: Aug 9 ,Fri: 11am-Sun: 7pm
59,Phantoms (DJ Set) ,, Audio ,San Francisco, Aug 7 ,9:30pm-2am
60,Phaeleh ,, 1015 Folsom ,San Francisco, Aug 13 ,8pm-11:30pm
61,Rescheduled: Sequence 08.13: Tisoki + Minesweepa ,, DNA Lounge ,San Francisco, Aug 13 ,9pm-2am
62,Cypress Hill ,Facebook Page, Fox Theater ,Oakland, Aug 14 ,7:30pm
63,Mat Zo ,, Audio ,San Francisco, Aug 21 ,9:30pm-2:30am
64,"Whethan, Chrome Sparks, Ramzoid ",Facebook Page, The Warfield ,San Francisco, Aug 22 ,8pm
65,Heatwave Rooftop Party ,Facebook Page, Hotel Via ,San Francisco, Aug 23 ,1pm-8pm
66,i_o ,, Fulton 55 ,Fresno, Aug 27 ,9pm-2am
67,Bay Area House Dance Festival 2020 - 24 Hour House Dance Cypher ,, TBA ,West Oakland, Aug 28-Sun: Aug 30 ,Fri: 8pm-Sun: 10pm
68,Rescheduled: Sequence 08.28: Spag Heddy & Effin ,Facebook Page, DNA Lounge ,San Francisco, Aug 28 ,9pm-3am
69,Gammer - Rescheduled ,, Park Ultra Lounge ,Sacramento, Sep 3 ,9pm-2am
70,Sequence: Arius ,Event Link, DNA Lounge ,San Francisco, Sep 3 ,9pm-2am
71,Gammer ,Facebook Page, Park Ultra Lounge ,Sacramento, Sep 3 ,10pm-3am
72,Monster Energy Up & Up Festival Presents Troyboi ,, TBA ,San Jose, Sep 10 ,7:30pm-11:30pm
73,Jan Blomqvist & Band ,, The Independent ,San Francisco, Sep 10 ,9pm
74,Beauz ,, Cornerstone ,Berkeley, Sep 11 ,8:30pm-11:30pm
75,Jan Blomqvist & Band ,, The Independent ,San Francisco, Sep 11 ,9pm
76,Cuff Records Usa Tour w/ Amine Edge & Dance + Clyde P ,, Audio ,San Francisco, Sep 12 ,2pm-7pm
77,An-Ten-Nae ,Facebook Page, Arcata Theatre Lounge ,Arcata, Sep 12 ,10pm-2am
78,Luttrell - Rescheduled ,Facebook Page, 1015 Folsom ,San Francisco, Sep 17 ,10pm
79,Heaven On Earth 2020 ,, TBA ,Grass Valley, Sep 18 ,4pm
80,Memba ,, The Independent ,San Francisco, Sep 19 ,9pm
81,Phutureprimitive ,, Arcata Theatre Lounge ,Arcata, Sep 19 ,9:30pm-1:30am
82,Yves Tumor & Its Band ,, 1015 Folsom ,San Francisco, Sep 24 ,9pm-12am
83,Rescheduled: Sequence 09.24: Delta Heavy ,, DNA Lounge ,San Francisco, Sep 24 ,9pm-2am
84,Jody Wisternoff ,, Audio ,San Francisco, Sep 25 ,9:30pm-2:30am
85,Jody Wisternoff ,, Audio ,San Francisco, Sep 26 ,9:30pm-2:30am
